Cars,Power,Year,Car type
Tesla Model S,422,2013 - 2016,hatchback
Tesla Model S,422,2016 - present,hatchback
Ford Mustang Fastback,421,2015 - present,coupe
Mercedes-Benz SLK-class,421,2011 - 2016,convertible
Ford Mustang Convertible,421,2015 - present,coupe
Aston Martin DB7,420,1994 - 2004,coupe
Jaguar XK Convertible,420,2006 - 2009,convertible
BMW 3-serie Cabrio,420,2007 - 2010,convertible
Jaguar XK,420,2006 - 2009,coupe
Porsche 911 Cabriolet,420,2015 - present,convertible
Porsche 911 Coupe,420,2015 - present,coupe
Audi S6 Avant,420,2012 - 2014,wagon
Porsche 911 Cabriolet,420,2001 - 2006,convertible
BMW 3-serie Coupe,420,2010 - 2013,coupe
Porsche 911 Targa,420,2015 - present,coupe
Audi R8,420,2007 - 2012,coupe
Aston Martin DB7 Volante,420,1996 - 2004,convertible
Audi RS4 Avant,420,2006 - 2008,wagon
BMW 3-serie Cabrio,420,2010 - 2013,convertible
BMW 3-serie Coupe,420,2006 - 2010,coupe
Porsche 911 Coupe,420,2000 - 2006,coupe
Audi RS4 Cabriolet,420,2006 - 2008,convertible
Audi S7 Sportback,420,2012 - 2014,hatchback
Porsche Panamera,416,2013 - present,coupe
Porsche Panamera,416,2013 - 2016,hatchback
Porsche 911 Coupe,415,2004 - 2010,coupe
Chrysler Viper,415,1993 - 2000,convertible
Chrysler Viper,415,1993 - 2000,convertible
Mercedes-Benz E-class Coupe,408,2009 - 2013,coupe
Porsche 911 Coupe,408,2008 - 2013,coupe
Porsche 911 Coupe,408,1993 - 1998,coupe
Mercedes-Benz E-class Estate,408,2009 - 2013,wagon
Mercedes-Benz E-class Cabriolet,408,2013 - present,convertible
Mercedes-Benz CLS-class Shooting Brake,408,2012 - 2014,wagon
Mercedes-Benz E-class Estate,408,2013 - 2016,wagon
Mercedes-Benz E-class Cabriolet,408,2010 - 2013,convertible
Porsche 911 Cabriolet,408,2008 - 2013,convertible
Mercedes-Benz E-class Coupe,408,2013 - 2017,coupe
Mercedes-Benz CLS-class Shooting Brake,408,2014 - present,wagon
Volvo V90,407,2016 - present,wagon
BMW 5-serie Gran Turismo,407,2009 - 2013,hatchback
BMW 6-serie Cabrio,407,2011 - 2015,convertible
BMW 6-serie Coupe,407,2011 - 2015,coupe
BMW 5-serie Touring,407,2010 - 2013,wagon
Bentley Continental,406,1994 - 2003,coupe
Chevrolet Camaro Convertible,405,2011 - present,convertible
Chevrolet Camaro Coupe,405,2011 - present,coupe
Maserati GranTurismo,405,2007 - present,coupe
Corvette C6 Coupe,404,2004 - 2009,coupe
Corvette C6 Convertible,404,2005 - 2009,convertible
Mercedes-Benz E-class Estate,401,2016 - present,wagon
